depth,tropismN,tropismS,rRLD,An,prld_stand,prld_highr,prld_cont,vrld_sl,vrld_2sc,vrld_4sc,vrld_sc_ir,vrld_sc_ip,prvd_stand,prvd_highr,prvd_cont,vrvd_sl,vrvd_2sc,vrvd_4sc,rlc
-20.0,1.0,0.025,2.8371618128213805,0.2980267213115478,0.3425106495567479,0.42027771155786375,0.43993310637857314,0.4100988097919275,0.3639005746329899,0.3560244506677684,0.3876714496514983,0.3243774516840385,0.005330358345773066,0.007361654967120547,0.00647986180066671,0.008031650349900443,0.00648583288448107,0.0064917464911238955,2.199375
-40.0,1.0,0.025,0.9797386772500648,0.42381937189704944,0.12174552601923509,0.08558594343570083,0.12800990581651356,0.14161676067668985,0.15895937795332288,0.13243185014558942,0.12446809782154589,0.14039560246963284,0.002005876019379668,0.001178174244059835,0.0022066033455624113,0.0039306638611372215,0.006221121773087365,0.004579290898047689,0.6231249999999999
-60.0,1.0,0.025,0.37732963385001833,0.4696284741840329,0.031681470239416205,0.044704995798739634,0.029113923102368516,0.05454127890831669,0.08876531102888494,0.05213319545848655,0.04846653664560523,0.05579985427136787,0.00027837559596802697,0.0004131441625271227,0.00019928055213372983,0.001436678536143509,0.0019229663685003961,0.000969889025962237,0.148125
-80.0,1.0,0.025,0.29093373307210224,0.47632565353743384,0.036620641925682165,0.016663534894832792,0.027491551460551187,0.042053145196728675,0.08842335752211841,0.04577291321263499,0.06028465765217282,0.031261168773097106,4.893957793700717e-05,0.00017363088590320933,0.0005298466711148695,0.0011640966066833475,0.0033110582905589167,0.0017742085403288587,0.13625
-120.0,1.0,0.025,0.07993485169765907,0.49347368669466635,0.005365429829532734,0.0026896864175794963,0.0051696214734188286,0.01155421851300944,0.01679152674156102,0.008695413972664996,0.01075793704085154,0.006632890904478448,8.55637685621534e-06,3.4820045505987312e-06,5.741760494893127e-06,0.0003299208297084603,0.0019087404368040984,0.0009546816618610612,0.02625
-10.0,1.0,0.025,3.9849522165443503,0.22822619472023137,0.4703519966191526,0.5479165721691122,0.5513690639141746,0.5790988886766765,0.6162044755852462,0.6832730049234831,0.17413693456895782,1.192409075278008,0.005507640811728255,0.00837049745801722,0.007047865246311032,0.011425584501676671,0.015044154248976614,0.014744361751613111,2.7406249999999996
-20.0,1.0,0.025,2.7790193248506707,0.3002119982628983,0.3598822774689784,0.34167285698666483,0.36276954359368513,0.40385101631848397,0.2355412322269117,0.35423869085362036,0.27067184645380843,0.43780553525343224,0.004799750810430353,0.004105779940860732,0.005342483740390137,0.007939827072328034,0.004483255184911388,0.0074243707215658926,1.8287499999999999
-40.0,1.0,0.025,0.988476115116752,0.4229653297138664,0.15172606117162565,0.09583575033284916,0.10141863005229956,0.14364674621969306,0.1028887703352309,0.1002614933169094,0.03981457325551256,0.16070841337830624,0.003056018289813841,0.0008477896081974157,0.001370456470964679,0.004002611257072884,0.0032583108320872666,0.0030054417248768905,0.49875
-60.0,1.0,0.025,0.36522390338754507,0.47045071870836913,0.015557511301752144,0.020674549440775035,0.015944930059687917,0.053074853869463284,0.034486703044104644,0.024042191473135445,0.04533018686796095,0.0027541960783099406,1.996280103905463e-05,2.4792375192941656e-05,1.8408940115158627e-05,0.0014100959919953015,0.0012926935158048185,0.0006553313090184362,0.075
-80.0,1.0,0.025,0.2966575031878725,0.4758714604091392,0.03676318269430011,0.012292430612293561,0.019230280039662834,0.043110687676619124,0.007487194071707297,0.006799248890722445,0.005512415276755825,0.008086082504689064,0.0003990348326147664,1.3551666681177203e-05,7.621662622505554e-05,0.0011719299480902575,7.428902226267934e-06,8.817893022866305e-06,0.08875
