depth,tropismN,tropismS,rRLD,An,CV,prld_stand,prld_highr,prld_cont,vrld_sl,vrld_2sc,vrld_4sc,vrld_sc_ir,vrld_sc_ip,prvd_stand,prvd_highr,prvd_cont,vrvd_sl,vrvd_2sc,vrvd_4sc,prcd_stand,prcd_highr,prcd_cont
-10.0,1.0,0.025,3.9785514635625274,0.2232870644495405,0.71033136621321,0.728642979831746,0.7264150945078048,0.6982683417806548,0.6399207270238291,0.8601129724828188,0.7107021913745233,0.09922170213644933,1.3221826806125971,0.008426407445064768,0.008179385258297225,0.01085388804124747,0.012621064201340865,0.014905010051405888,0.01322297603113778,0.008426407445064768,0.016958333333333332,3.477777777777778
-20.0,1.0,0.025,2.8333728249919012,0.2952564662504374,0.3171139811501009,0.5133792199295593,0.46610710459015314,0.4240716308690279,0.45572716972594773,0.28374965103908384,0.23570823635256463,0.1712439079307787,0.30017256477435,0.006242239996077527,0.0054538963720930644,0.006159738635644488,0.009031490747275784,0.0039992775745862465,0.0038710435820694523,0.006242239996077527,0.011,2.1055555555555556
-40.0,1.0,0.025,0.9698835852211877,0.4242700608098358,0.36725267775214093,0.1450703274492353,0.12888664045472276,0.11813986016402907,0.15599863786290472,0.11793113755927363,0.15982041705723843,0.20028488456563162,0.11935594954884504,0.004814815936053383,0.003389142709685878,0.003247345206380807,0.004391778821479532,0.003643615765223037,0.004527436520026041,0.004814815936053383,0.003041666666666667,0.5872222222222222
-60.0,1.0,0.025,0.3728173781771079,0.4696163288050415,0.6694729274814607,0.039297717276550945,0.03908165832636298,0.03347497449353125,0.059964931929417854,0.09580816767871678,0.06945977708208825,0.024434488685121252,0.11448506547905525,4.9137505656690463e-05,0.0003569948662149146,0.0004404890612355594,0.0015734363648282317,0.0027867965485630303,0.0019191704392078875,4.9137505656690463e-05,0.0008888888888888889,0.16555555555555557
-80.0,1.0,0.025,0.2935240265510185,0.4759566215703491,0.7694229201509313,0.0495591659331455,0.016243956934107424,0.030842198459269752,0.04721117979489408,0.08602802554919822,0.057115831603581614,0.04022378589703838,0.07400787731012483,0.0018935470707090204,2.073984012727429e-05,0.0007229904575066757,0.0012928943340145573,0.002200223503384934,0.0011170532012820626,0.0018935470707090204,0.00041666666666666664,0.15666666666666668
-120.0,1.0,0.025,0.0894169579344616,0.49319879697646485,1.2117792054875978,0.01911317706108045,0.01853627800420663,0.018481700662925905,0.014382059715382775,0.024144028017793313,0.017033175206448155,0.005476695263900494,0.028589655148995818,1.1827855886930087e-05,0.0009464645279854182,0.00034032343765577914,0.0003923292777956205,0.00108567955620522,0.0005494681707839364,1.1827855886930087e-05,0.00043055555555555555,0.09055555555555556
-10.0,1.0,0.025,4.005127139432386,0.22067419111095965,0.6519313288083394,0.7217347403896011,0.8128163683176355,0.7948322114808261,0.6448492480892862,1.066290442841014,1.0692612472143577,0.1978590784290459,1.9406634159996687,0.014039052965751054,0.015887860237983716,0.014346932383754962,0.012637777568170626,0.020440549501888075,0.020025047182108867,0.014039052965751054,0.018861111111111113,3.943888888888889
-20.0,1.0,0.025,2.811009154889475,0.29459722212287753,0.2628268718417857,0.48636205945048055,0.39686206671335894,0.42086315784685724,0.45258916303952185,0.31393524161758934,0.37538843298372093,0.13654698835480858,0.6142298776126336,0.008245297001517164,0.005199176810746664,0.0074834583796997214,0.008938334671947856,0.006739924791912313,0.007602675734062643,0.008245297001517164,0.009319444444444444,2.077222222222222
-40.0,1.0,0.025,0.9565569292221238,0.42379323423622883,0.3576739762780099,0.16812214802690822,0.10311097866332972,0.09947189254253085,0.15401134473121922,0.17752485600465842,0.10978607241996924,0.09730134958826962,0.12227079525166888,0.006045650577505222,0.0012051702039304675,0.0018465043458239286,0.004386584650582597,0.0043986700527961446,0.002863490711154194,0.006045650577505222,0.002347222222222222,0.4927777777777778
-60.0,1.0,0.025,0.3723749062065925,0.46973472329969124,0.6495343670085025,0.025549254611397197,0.016780094256801176,0.02694224798330594,0.05995457070775304,0.09125719354507172,0.10824780958622642,0.07160433543930869,0.1448912837331441,4.1037208990444315e-05,2.523806211162251e-05,0.00026411310171200076,0.0015517839682368938,0.0017055736448956546,0.0021852217438640942,4.1037208990444315e-05,0.00041666666666666664,0.13166666666666665
-80.0,1.0,0.025,0.3019355915040978,0.4751567161526695,0.6723257483414672,0.0600050776032662,0.012880326985106869,0.03858767626545625,0.04861342283890768,0.056898506245013886,0.07229555328728986,0.002870754648990351,0.14172035192558938,0.002338493406813558,1.678556935128323e-05,0.0009154511444052227,0.0012801854378806515,0.0012163742274400027,0.0019267104191048874,0.002338493406813558,0.00036111111111111115,0.18333333333333335
-120.0,1.0,0.025,0.07975622548704282,0.49372258757376836,1.1128928568257732,0.005303116836119788,0.01248804032802583,0.006147822066259654,0.012841225820124149,0.013329080685697327,0.011965230226121509,0.0,0.023930460452243018,3.1020899548036468e-06,1.4917649396953595e-05,1.1603780566314691e-05,0.00035872632834135765,1.509426289835256e-05,1.4759876828081952e-05,3.1020899548036468e-06,0.0002638888888888889,0.031111111111111114
-10.0,1.0,0.025,4.000701762452999,0.22167848799199802,0.68230864833063,0.6973705371253585,0.8846445366685167,0.8162722067419708,0.6427538338839779,0.9179510039575602,0.8966817714162293,0.17482570022443822,1.6185378426080201,0.012693536272630146,0.01690116409574711,0.014417472856411699,0.012636736378615041,0.014739792763337619,0.01597354116260982,0.012693536272630146,0.020722222222222225,4.043888888888889
-20.0,1.0,0.025,2.7956712654644154,0.2957303223832251,0.3200926663976832,0.4061735533411178,0.3516881970904667,0.39208597873490136,0.4491533063076295,0.15537382741184852,0.29029632815088036,0.1603860341490785,0.4202066221526821,0.0053529235308195245,0.002774782430999466,0.005164758928489863,0.008844524524465169,0.00300616303640822,0.005927149062445323,0.0053529235308195245,0.00823611111111111,1.9338888888888888
-40.0,1.0,0.025,0.9633331622980065,0.42373144879730384,0.3498875446092901,0.10030344018260258,0.07574442356104384,0.0844250787424912,0.1547693680108189,0.2157321389442408,0.1668283630437993,0.22305372258051495,0.11060300350708378,0.00028714308063787985,0.0016374093284195691,0.002004624368808392,0.004389088865012757,0.006382504021139485,0.005418439852797902,0.00028714308063787985,0.0018055555555555555,0.42444444444444446
-60.0,1.0,0.025,0.37476773440902156,0.46857658522623913,0.6074063055100878,0.05140919292185393,0.02074092439798276,0.023405432311035444,0.060210286197318344,0.0207358674659232,0.021583808181440907,0.019151423411266005,0.02401619295161583,5.736532814793601e-05,0.00043700213023274584,0.0003239490279690112,0.001603959398962589,6.387653247196944e-05,0.00010166388683954474,5.736532814793601e-05,0.0004583333333333333,0.11888888888888889
-80.0,1.0,0.025,0.2959908636810948,0.47603802463056866,0.7721117661969846,0.037684768610458205,0.010666828325156965,0.028465395237707684,0.047553972708278984,0.044993968604561195,0.03173900823492547,0.007345980828945768,0.05613203564090515,0.001927756690562545,0.0001348010681381903,0.0007072389279846293,0.0012825989720353732,5.4835510183153095e-05,3.8054569332466824e-05,0.001927756690562545,0.0002638888888888889,0.1438888888888889
