depth,tropismN,tropismS,prld_stand,prld_highr,prld_cont,vrld_sl,vrld_2sc,vrld_4sc,vrld_sc_ir,vrld_sc_ip,prvd_stand,prvd_highr,prvd_cont,vrvd_sl,vrvd_2sc,vrvd_4sc,prcd_stand,prcd_highr,prcd_cont
-120.0,1.0,0.025,0.021489977696833282,0.0178689321216423,0.02794464103576455,0.014180318467119408,0.0006246132145059496,0.017217534509391515,0.0,0.03443506901878303,9.296811425239687e-05,6.006447368681856e-05,0.0001122326031559377,7.802502665759272e-05,1.766052257424297e-06,9.534803928947876e-05,9.296811425239687e-05,0.0008928571428571428,0.1380952380952381
-10.0,1.0,0.025,3.4879931041418564,3.3597408804799884,3.4960171721837634,4.369737668088014,4.547138662976196,4.418411538734486,4.37467193926039,4.46215113820859,0.016449492904002168,0.01571730635171837,0.01627855088645738,0.020392151510189232,0.021183308700813017,0.020572639406410968,0.016449492904002168,0.17633928571428573,18.053571428571427
-20.0,1.0,0.025,2.102126703754117,2.063219869874659,2.1935075596641305,2.7380701193075065,2.8299468344552396,2.619222681158388,2.4655486651000307,2.7728966972167393,0.00877156861132472,0.009147899751624103,0.009783272203928696,0.012954654278797478,0.013137569456375843,0.012245531250782293,0.00877156861132472,0.1050297619047619,11.058333333333334
-40.0,1.0,0.025,1.0472050632874588,0.7519580699714249,0.8443125120277326,1.7175216436010823,1.7395363097509577,1.573705855956846,1.431236337231548,1.7161753746821438,0.004483977391639185,0.003151120751580407,0.003593160425829766,0.00820198740444358,0.008147979498499209,0.007460829588179607,0.004483977391639185,0.03907738095238096,4.3845238095238095
-60.0,1.0,0.025,0.5679287803303226,0.46957094989161074,0.5177208223912251,1.1205597957867899,1.2882787344849753,1.0975346364417229,0.8944129176125398,1.3006563552709005,0.0023179980480147527,0.001980731265269358,0.002190067244653419,0.005425700390034723,0.0062853004307117065,0.005336668927292145,0.0023179980480147527,0.024702380952380955,2.6916666666666664
-80.0,1.0,0.025,0.22865032691255296,0.21575288302598086,0.20617904750111102,0.5563307878782918,0.49896206659772296,0.47047776755237086,0.4089255928981984,0.532029942206543,0.0011907616170785062,0.0010905821337127415,0.0010341174104433622,0.0027819194476730916,0.0025934266924083327,0.0024079994224646523,0.0011907616170785062,0.011011904761904761,1.0904761904761906
-120.0,1.0,0.025,0.004759626866882326,0.010546775139780844,0.012854892371884544,0.015747404077447107,0.037376071353958956,0.0279830073948813,0.0,0.0559660147897626,2.8478974863189652e-05,4.506088266501913e-05,5.5518173750223234e-05,8.434183743546248e-05,0.0002128891975611393,0.00015670373461508652,2.8478974863189652e-05,0.0006547619047619047,0.07023809523809524
-10.0,1.0,0.025,3.582828711497092,3.548828561000876,3.546657243781112,4.363719746285827,4.127001441077886,4.335678723884983,4.093161922599068,4.578195525170888,0.016835480488833154,0.016811566620900966,0.016814527497771264,0.02038498528831931,0.019216263674930827,0.020188474260101844,0.016835480488833154,0.18419642857142857,18.28214285714286
-20.0,1.0,0.025,1.7986207460601622,2.071679521049195,2.0889609382548286,2.7339946459149735,2.6462489105317424,2.76690020063405,2.5599178595405245,2.973882541727588,0.008274919522028834,0.009410105345842894,0.009422320084412695,0.012933343077872734,0.012487187549660191,0.013098743546637003,0.008274919522028834,0.10491071428571427,10.520238095238096
-40.0,1.0,0.025,0.8136001169394295,0.7580431465256996,0.8690195609271406,1.7509568646266132,1.776219090769513,1.8697233123552393,1.7662894933806053,1.9731571313298824,0.003425859135559722,0.00327075957425793,0.0036806197257921625,0.008351737386762063,0.008588533478340743,0.00895973529615638,0.003425859135559722,0.039880952380952385,4.517857142857142
