architecture,day,krs,length,surface
0,58,0.10105294776427869,20313.01786488083,1807.7771615653037
0,59,0.10252052050807937,20906.916656815345,1855.5865521115816
0,60,0.10396184071407893,21500.422921845715,1903.2672508033595
0,61,0.1053629640906201,22094.688007087545,1950.9495398341016
0,62,0.10674334702032495,22689.598294233536,1998.641658138668
0,63,0.1080952428483905,23286.335702503922,2046.4385671599507
0,64,0.10946603881642503,23881.94978021452,2094.107025130633
0,65,0.11087052910972395,24478.6423987127,2141.8655478694536
0,66,0.11233126299271477,25076.35764925523,2189.611008920269
0,67,0.1138118122350323,25673.676291897227,2237.2371953659726
0,68,0.11533404421413682,26272.594195810638,2284.9277295471966
0,69,0.11685929646365278,26869.231686063013,2332.363008677558
1,0,0.00029532385809008586,5.9875527335594745,2.767728909099889
1,1,0.0006980074491710017,19.46895512283838,6.68229191536596
1,2,0.0010708998896606966,43.9919749043141,12.089955816166043
1,3,0.001361933703792916,76.37185770842542,18.54233089852912
1,4,0.0015827189588500988,115.1801280499445,25.852545179794944
1,5,0.001741868940237115,163.49736509711545,34.356010802359044
1,6,0.0018572511605876914,217.40707920707356,43.51916346569248
1,7,0.0019365154043087056,263.9109408095071,51.68303062348845
1,8,0.0020044730390736945,313.36769130492814,60.12120947802219
1,9,0.002059386451317924,361.576366342842,68.32301701364182
1,10,0.0021046851389607633,406.3614183682503,75.99440453646869
1,11,0.002170557512444658,448.5405925497854,83.2393570548317
1,12,0.002252529321551139,491.7712145982443,90.52668097278806
1,13,0.0023230349722854465,532.710222853916,97.46285694227048
1,14,0.002365553834273872,575.5835535091664,104.58182311458319
1,15,0.0023855208540761457,614.2414143671172,111.06326618183189
1,16,0.0023892656861920175,647.7433642287077,116.86756755440568
1,17,0.0023823929468917236,680.867995572187,122.50698049440828
1,18,0.002379967179656379,711.681427289613,127.81253033464559
1,19,0.002620443733544114,743.244637637281,133.12999012856653
1,20,0.0032317415864978835,771.6409777468622,137.95111272948188
1,21,0.003816598707700845,801.0162395451558,142.82239305535123
1,22,0.004370013532673595,824.9579658544723,147.00844060870116
1,23,0.004778919153497962,850.943092261509,151.37288554745334
1,24,0.005051502506889359,876.2187944245775,155.57712268149936
1,25,0.0052158043806837485,892.524127320127,158.58949542113947
1,26,0.005291553347027557,913.5307136062972,162.13371917044844
1,27,0.005328661023834453,928.406393511885,164.85362246105802
1,28,0.005311676452964594,941.3185278924682,167.27736702967266
1,29,0.005290285925764166,957.9881412632544,170.17452470927532
1,30,0.005254092254792762,976.2291593757545,173.24602173609517
1,31,0.005188691902112495,986.4398871744329,175.24751069137128
1,32,0.0051204186275063,996.7413224808888,177.2099367842846
1,33,0.005058604796943769,1008.2886570027831,179.2860438955123
1,34,0.004986799045184592,1016.823509383778,180.94634150103056
1,35,0.004924598787147717,1025.261346076906,182.5614925266914
1,36,0.0048636808339867854,1032.5380356318951,184.00113592646136
1,37,0.004809613872988425,1037.2264625614068,185.08863692843482
1,38,0.004758657809910786,1043.781213347316,186.38600229125618
1,39,0.004714899580370976,1048.7278362685875,187.458497555282
1,40,0.00468157207892635,1051.4516215438912,188.23049187792876
1,41,0.004649720234952411,1056.3076461466806,189.25067446120562
1,42,0.004618771611188645,1061.4722061375944,190.29112683473687
1,43,0.004586282638975821,1066.3827902533349,191.2822880871496
1,44,0.004554952125353165,1069.1192721275002,191.9838881322581
1,45,0.004523246939429976,1072.0563244943728,192.69526771991553
1,46,0.004489967321550175,1073.2730980146162,193.17589958597955
1,47,0.004455797754728531,1079.6020840279716,194.2851668634662
